H0	direct_repeat_count	direct_chi2_min	direct_chi2_max	direct_chi2_spread	baseline_best_chi2	tight_best_chi2	baseline_tight_chi2_difference	baseline_tight_omega_b_difference	baseline_tight_omega_cdm_difference	point_audit_pass
59.5	3	10.285536871724245	10.285536871724245	0.0	10.285536871724245	10.285536847302323	2.442192226226325e-08	5.221876541935955e-08	8.361250038169121e-08	YES
67.32117	3	10.282340710817206	10.282340710817206	0.0	10.282340710817206	10.282340701620365	9.19684062239412e-09	2.760795033557306e-09	4.2587707979602207e-07	YES
73.0	3	10.280640261044852	10.280640261044852	0.0	10.280640261044852	10.280640258320599	2.7242528233273333e-09	2.7958885207013395e-09	1.907633781494944e-07	YES
81.0	3	10.278828499144435	10.278828499144435	0.0	10.278828499144435	10.278828497448291	1.6961436699602928e-09	1.6906970073948813e-08	3.9862927403433446e-08	YES
