model_id	family	status	H0	h	omega_b	omega_cdm	Omega_m_computed	A_s	n_s	tau_reio	f_EDE_target	log10_axion_ac	fraction_axion_ac	n_axion	scf_parameters	z_rec_AxiCLASS	rs_rec_Mpc_AxiCLASS	sigma8_AxiCLASS	S8_AxiCLASS	source_note	error
Ivanov_LCDM_comparison_AxiCLASS_FIX1	LCDM	OK	68.07	0.6807	0.02249	0.11855	0.3043902925826513	2.105209331337507e-09	0.9686	0.0566	0.0					1088.5479608927565	144.81157038188115	0.8071727955415788	0.8130575517995123	Ivanov LCDM comparison block; scalar field disabled	
Ivanov_EDE_bestfit_AxiCLASS_FIX1	EDE_AxiCLASS	OK	71.15	0.7115	0.02286	0.12999	0.30193651234191415	2.128494467439464e-09	0.9847	0.0511	0.105	-3.59	0.105	3.0	2.71,0.0	1089.2104779384258	138.910106247863	0.8313671768967797	0.8340461153509595	Ivanov EDE block mapped through AxiCLASS axion parameters; fraction_axion_ac only	
Fujiki_DTI_candidate_AxiCLASS_FIX1	DTI_candidate_AxiCLASS_probe	OK	72.9	0.729	0.0244	0.127	0.28488581046626066	2.128494467439464e-09	0.9847	0.0511	0.082	-3.55	0.082	3.0	2.71,0.0	1087.4194730726376	139.08971786379675	0.8229018150386437	0.8019047798230385	Fujiki candidate mapped through AxiCLASS axion parameters; fraction_axion_ac only	
