chain	parameter	total_draws	mean_first50	std_first50	mean_last50	std_last50	mean_tail20	std_tail20	drift_amount	regime_classification
CHAIN01	H0	170	68.21144670588234	0.3291217029302911	69.2177337647059	0.14837578530820508	69.3158844117647	0.19743991060857818	1.0062870588235597	C_DRIFTING_TRANSITION
CHAIN01	f_ede	170	0.15115462329411763	0.025558666232357707	0.07438131411764705	0.008692224724643122	0.06683126529411763	0.009689248230028643	0.07677330917647059	C_DRIFTING_TRANSITION
CHAIN01	log10_z_c	170	3.966008517647058	0.5566823095224825	3.722697647058823	0.053178906345347145	3.659269617647059	0.019099703534833003	0.24331087058823497	A_LOCAL_TRAPPED_WALK
CHAIN01	Omega_m	170	0.3190456964705882	0.007064047107005116	0.3163693399999999	0.004326887660668704	0.31280630000000004	0.005064201352051253	0.002676356470588337	A_LOCAL_TRAPPED_WALK
CHAIN01	sigma8	170	0.8138949082352938	0.043077649970984226	0.8557000482352939	0.008341831496818932	0.8471814705882352	0.007281605129023222	0.04180514000000013	C_DRIFTING_TRANSITION
CHAIN02	H0	497	67.51741318548386	0.29258848227573375	67.54282044176706	0.19858313778024608	67.73278000000003	2.842170943040401e-14	0.025407256283202173	A_LOCAL_TRAPPED_WALK
CHAIN02	f_ede	497	0.06807556548387096	0.04338775876716631	0.005180742062650603	0.006535230023083484	0.0006814886000000002	1.0842021724855044e-19	0.06289482342122035	C_DRIFTING_TRANSITION
CHAIN02	log10_z_c	497	4.1926846008064516	0.29899929650574997	3.826107879518072	0.08261002161898455	3.872941000000001	8.881784197001252e-16	0.3665767212883795	C_DRIFTING_TRANSITION
CHAIN02	Omega_m	497	0.3112138479838709	0.006976513702173074	0.31205777389558226	0.005288601366977516	0.30758090000000005	5.551115123125783e-17	0.0008439259117113407	A_LOCAL_TRAPPED_WALK
CHAIN02	sigma8	497	0.7870716685483871	0.02361147320270028	0.806188976305221	0.00359946835047414	0.8045852000000002	2.220446049250313e-16	0.019117307756833957	C_DRIFTING_TRANSITION
CHAIN03	H0	544	66.88506393382353	0.125928536192322	67.03785	0.0	67.03785	0.0	0.15278606617647483	C_DRIFTING_TRANSITION
CHAIN03	f_ede	544	0.009517964963235294	0.008398578723853807	0.001255785	0.0	0.0012557850000000006	6.505213034913027e-19	0.008262179963235293	C_DRIFTING_TRANSITION
CHAIN03	log10_z_c	544	3.7754602022058816	0.07476993984284386	3.769604	0.0	3.769604000000001	8.881784197001252e-16	0.005856202205881456	A_LOCAL_TRAPPED_WALK
CHAIN03	Omega_m	544	0.32382526139705886	0.0036458837996978725	0.3184525	0.0	0.3184525000000001	5.551115123125783e-17	0.005372761397058834	C_DRIFTING_TRANSITION
CHAIN03	sigma8	544	0.8395388720588235	0.0059534795100797885	0.8349924	0.0	0.8349924000000002	2.220446049250313e-16	0.004546472058823525	C_DRIFTING_TRANSITION
CHAIN04	H0	704	66.95751079545457	0.12240040231729396	67.50246321022728	0.22371682506392992	67.72744999999999	1.4210854715202004e-14	0.544952414772709	C_DRIFTING_TRANSITION
CHAIN04	f_ede	704	0.014600027735795456	0.007007764317343159	0.00915284324715909	0.006704557974711194	0.015643400000000002	3.469446951953614e-18	0.005447184488636365	C_DRIFTING_TRANSITION
CHAIN04	log10_z_c	704	3.797765272727273	0.21114533824138207	4.298413355113635	0.14948628189513344	4.1623519999999985	1.7763568394002505e-15	0.5006480823863626	C_DRIFTING_TRANSITION
CHAIN04	Omega_m	704	0.32320722102272725	0.003302005522623039	0.31411505284090907	0.0012919125174184162	0.3128705	0.0	0.009092168181818183	C_DRIFTING_TRANSITION
CHAIN04	sigma8	704	0.8427712585227273	0.008001428364264101	0.8298498042613637	0.0015275856973279013	0.8287547	0.0	0.012921454261363596	C_DRIFTING_TRANSITION
CHAIN05	H0	684	68.3330809649123	0.38964022236061885	68.56255388888889	0.13166488464181403	68.49784919708028	0.10298253885059463	0.22947292397658714	C_DRIFTING_TRANSITION
CHAIN05	f_ede	684	0.019212190315789475	0.020568334949195726	0.019375132280701746	0.002626907936959623	0.018104006496350366	0.0021423482547758216	0.0001629419649122714	A_LOCAL_TRAPPED_WALK
CHAIN05	log10_z_c	684	3.1951060497076025	0.09220298463931702	3.144800423976609	0.0752261925861229	3.1789801459854012	0.10938958323007159	0.05030562573099351	C_DRIFTING_TRANSITION
CHAIN05	Omega_m	684	0.30619537485380116	0.0035608876376822213	0.3043080146198831	0.0013050227629558876	0.30500627153284676	0.0013607892383052515	0.0018873602339180562	C_DRIFTING_TRANSITION
CHAIN05	sigma8	684	0.8287834953216372	0.011170776880666759	0.829886994736842	0.001314101799699045	0.8305143401459855	0.0009513421321879454	0.0011034994152048228	A_LOCAL_TRAPPED_WALK
CHAIN06	H0	620	67.19156761290323	0.30739235692448824	67.82469838709676	0.1938109707071017	67.95633000000001	1.4210854715202004e-14	0.6331307741935319	C_DRIFTING_TRANSITION
CHAIN06	f_ede	620	0.023052434870967742	0.01290760862358612	0.02225999572258065	0.003353906109507139	0.020078330000000002	3.469446951953614e-18	0.0007924391483870932	A_LOCAL_TRAPPED_WALK
CHAIN06	log10_z_c	620	4.1827130580645155	0.1921671008544131	4.468987219354839	0.020728486971617784	4.4563690000000005	8.881784197001252e-16	0.286274161290323	C_DRIFTING_TRANSITION
CHAIN06	Omega_m	620	0.31888482612903224	0.0028260429234910883	0.3113791480645161	0.00277939224513249	0.30949079999999995	5.551115123125783e-17	0.00750567806451613	C_DRIFTING_TRANSITION
CHAIN06	sigma8	620	0.8224387322580647	0.0040060446002612195	0.8148234603225807	0.002192338923852464	0.8133332000000002	2.220446049250313e-16	0.007615271935484058	C_DRIFTING_TRANSITION
CHAIN07	H0	765	67.39709162303663	0.2384107152709472	68.03762057441253	0.11106813549522165	68.02442241830065	0.16105511867374325	0.6405289513758987	C_DRIFTING_TRANSITION
CHAIN07	f_ede	765	0.03953972788219895	0.041020193379605746	0.01674654452741514	0.005318757267942807	0.012993216274509804	0.0037131349777080897	0.022793183354783808	C_DRIFTING_TRANSITION
CHAIN07	log10_z_c	765	4.3427290863874335	0.164873867936193	3.6978965195822453	0.10738686724411642	3.6714294379084973	0.025746680182425135	0.6448325668051882	C_DRIFTING_TRANSITION
CHAIN07	Omega_m	765	0.3169585832460733	0.005033453356324584	0.3113951323759791	0.0019898760196618796	0.31078579869281053	0.00276519307635846	0.005563450870094189	C_DRIFTING_TRANSITION
CHAIN07	sigma8	765	0.830136670157068	0.01158401491587905	0.8328361023498694	0.0020753504409400047	0.8310516418300654	0.0014047822478022714	0.002699432192801332	A_LOCAL_TRAPPED_WALK
CHAIN08	H0	696	67.45538994252874	0.34507813096972445	68.17394853448275	0.15066811502411803	68.21403	0.0	0.7185585919540074	C_DRIFTING_TRANSITION
CHAIN08	f_ede	696	0.028768274080459764	0.01522954153807428	0.02166509405172414	0.0009069229237818376	0.02142383	0.0	0.007103180028735622	A_LOCAL_TRAPPED_WALK
CHAIN08	log10_z_c	696	3.234474068965517	0.15517172288929465	3.279495873563217	0.01809557725434375	3.274682	0.0	0.04502180459770022	A_LOCAL_TRAPPED_WALK
CHAIN08	Omega_m	696	0.3221651120689655	0.002779435778500443	0.3134811804597701	0.0021583713679339447	0.312907	0.0	0.008683931609195394	C_DRIFTING_TRANSITION
CHAIN08	sigma8	696	0.8371285514367814	0.009450162475287766	0.8357143086206895	0.0009386664559058791	0.8354646	0.0	0.0014142428160919263	A_LOCAL_TRAPPED_WALK
CHAIN09	H0	686	68.60342475218657	0.2571463238176416	67.93006620991252	0.3700397745254244	68.28729913043479	0.07939918151549845	0.6733585422740447	C_DRIFTING_TRANSITION
CHAIN09	f_ede	686	0.06874615921282799	0.014563434699085552	0.00934700689212828	0.004881844141585457	0.00972149495652174	0.0008819363518304225	0.059399152320699714	C_DRIFTING_TRANSITION
CHAIN09	log10_z_c	686	4.074066804664723	0.20845992030711505	4.108379157434403	0.24488714003407464	3.8907338115942034	0.16736198747843747	0.03431235276968003	A_LOCAL_TRAPPED_WALK
CHAIN09	Omega_m	686	0.3104161702623906	0.0027048156120428415	0.30751370145772594	0.005320899494457171	0.3025909043478261	0.0012716007187034734	0.0029024688046646596	C_DRIFTING_TRANSITION
CHAIN09	sigma8	686	0.8341438967930028	0.010058697960220585	0.8341889583090378	0.005343204278615433	0.8291746369565217	0.001423783819441629	4.506151603500541e-05	A_LOCAL_TRAPPED_WALK
CHAIN10	H0	565	67.76225581560284	0.3593880848706998	68.83744844522968	0.5655788986313806	69.15223964601769	0.25882501072854996	1.0751926296268408	C_DRIFTING_TRANSITION
CHAIN10	f_ede	565	0.036896309397163124	0.032677356566164946	0.03968320310954063	0.011094000686218432	0.047154400619469024	0.0025201304200382713	0.002786893712377503	A_LOCAL_TRAPPED_WALK
CHAIN10	log10_z_c	565	3.8017755780141846	0.2464902508854605	3.510751554770318	0.0979063151798265	3.458312539823009	0.04966652836795145	0.29102402324386656	C_DRIFTING_TRANSITION
CHAIN10	Omega_m	565	0.31776263156028367	0.0035280552284404428	0.3079052325088339	0.004316268463840801	0.30635365132743353	0.002852881309366025	0.009857399051449778	C_DRIFTING_TRANSITION
CHAIN10	sigma8	565	0.8420863297872341	0.017509030654759995	0.842185099646643	0.0025395099685824986	0.8420774203539823	0.001803942428596837	9.876985940893146e-05	A_LOCAL_TRAPPED_WALK
