metric	stage2_fix1	stage3	change	display_status
Rhat_H0	1.003175117645303	1.0065117320578099	+0.0033366144125068775	YES_DIAGNOSTIC_ONLY
Rhat_scf0	1.0573251613628734	1.0368338138734983	-0.02049134748937509	YES_DIAGNOSTIC_ONLY
ESS_H0	513.3920273814925	530.5273810615926	+17.135353680100025	YES_DIAGNOSTIC_ONLY
ESS_scf0	185.4091720895082	179.7745327002373	-5.6346393892708875	YES_DIAGNOSTIC_ONLY
Rhat_logtarget	1.0035999394011692	1.0067496919042291	+0.0031497525030599327	YES_DIAGNOSTIC_ONLY
Rhat_chi2	1.0035999394011692	1.0067496919042291	+0.0031497525030599327	YES_DIAGNOSTIC_ONLY
